abandon [4'b1nd4n] vt.抛弃；放弃n.放纵；沉溺
sack [s1k] n.袋，麻袋
sacred ['seikrid] adj.宗教的；祭祀的adj.神圣的，不可冒犯的
saddle ['s1dl] n.鞍子，马鞍
saga ['s2:g4] n.英雄传奇
sake [seik] n.缘故；原因
salient ['seilj4nt] adj.显著的，突出的
saline ['seilain, s4'lain] adj.含盐的，咸的
saliva [s4'laiv4] n.口水，唾液
salinity [s4'liniti] n.盐分，盐度
saltiness ['s3:ltinis] n.盐度
sample ['s1mpl] n.范例，样品
sanctimonious [s16kti'm4unj4s, -ni4s] adj.假装神圣的，伪装虔诚的
sanction ['s16k54n] n.制裁n.批准，认可
sanctuary ['s16ktju4ri] n.避难所；动物保护区n.圣所，圣殿
sandy ['s1ndi] adj.沙的，多沙的
sanitation [s1ni'tei54n] n.（公共、环境）卫生，卫生设施
sanitary ['s1nit4ri] adj.（有关）卫生的
sap [s1p] n.树液，汁液v.使衰竭
sapphire ['s1fai4] n.蓝宝石
sarcastic [s2:'k1stik] adj.讽刺的，挖苦的
satire ['s1tai4] n.讽刺；讽刺文学
satiric [s4'tirik] adj.讽刺的，挖苦的
satirist ['s1tirist] n.讽刺作家
satisfactory [.s1tis'f1kt4ri] adj.令人满意的，符合要求的
saturate ['s1t54reit] vt.浸透，使湿透
saturated ['s1t54reitid] adj.渗透的, 饱和的
saucer ['s3:s4] n.茶碟，垫盘
save [seiv] vt.拯救；保留prep.除…之外
savings ['seivi6z] n.储蓄，存款
scale [skeil] vt.攀登n.等级，刻度；规模n.鱼鳞，鳞片
scaled [skeild] adj.有鳞状斑点的，有鳞的
scan [sk1n] vt.扫描；细看，审视
scapegoat ['skeipg4ut] n.替罪羊，代人受过的人
scarce [skA4s] adj.缺乏的，稀有的，罕见的
scarcely ['skA4sli] adv.几乎不，简直没有
scare [skA4] vt.惊吓，使受惊
scarlet ['sk2:lit] adj.猩红的，鲜红的
scatter ['sk1t4] vt.使分散，扩散
scavenger ['sk1vind94] n.清道夫，食腐动物
scene [si:n] n.地点，现场；景色
scenery ['si:n4ri] n.风景，景色
scenic ['si:nik] adj.风景如画的
scent [sent] n.气味；香味
schedule ['sked9ul] n.时间表；计划表vt.预定，安排
scheme [ski:m] n.方案n.阴谋
scholar ['sk3l4] n.学者
scholarship ['sk3l45ip] n.奖学金
scholarly ['sk3l4li] adj.学者气质的，学术的
scissors ['siz4z] n.剪刀
scope [sk4up] n.范围，界限
score [sk3:, sk34] n.分数，得分；刻痕，划痕n.乐谱v.记分
scotch [sk3t5] v.镇压，粉碎
Scotch [sk3t5] adj.苏格兰的
scour ['skau4] vt.冲刷，擦掉
scout [skaut] n.侦察；侦察员vt.侦察
scramble ['skr1mbl] vt.搅乱，使混杂v.攀爬
scrap [skr1p] n.废料，残余物vt.废弃，扔弃
scrape [skreip] n.刮，擦；擦痕vi.刮掉，擦掉；vt. 刮，擦，擦伤
scraping ['skreipi6] n.刮削下的碎屑
scratch [skr1t5] vt.搔，抓，擦n.划痕
screen [skri:n] n.屏幕vt.甄别，审察；掩盖
screw [skru:] n.螺旋，螺钉v.旋紧，拧紧
screwdriver ['skru:draiv4] n.螺丝刀
scruple ['skru:pl] n.踌躇；顾忌
scrupulously ['skru:pjul4sli] adv.小心翼翼地
scuba ['sku:b4] n.水中呼吸器
sculpture ['sk8lpt54] n.雕塑；雕刻品
sculpt [sk8lpt] vt.雕刻，造型
sculptor ['sk8lpt4(r)] n.雕刻家
sculptural ['sk8lpt54r4l] adj.雕刻的，雕刻般的
sea cucumber [] 海参
seam [si:m] n.接缝，缝合线
seamen [] n.海员
seabed ['si:bed] n.海底，海床
seamount ['si:maunt] n.海底山
seaport ['si:p3:t] n.海港，港口
seashore ['si:53:] n.海岸，海滨
seaweed ['si:wi:d] n.海草，海藻
seasoning ['si:zni6] n.调味品，调料
seasonal ['si:z4nl] adj.季节的，季节性的
seclusion [si'klu:94n] n.独处，隐居
seclude [si'klu:d] vt.使隔离，使孤立
secondary ['sek4nd4ri] adj.中级的adj.次要的，伴随的
secrete [si'kri:t] vt.分泌；隐匿，使隐秘
secretin [si'kri:tin] n.分泌素
secret ['si:krit] n.秘密
sect [sekt] n.宗派，教派
sector ['sekt4] n.扇形面；地区
section ['sek54n] n.部分，节
sectional ['sek54n4l] adj.部分的，部门的
subsection ['s8b'sek54n] n.分部，分段
secular ['sekjul4] adj.世俗的，尘世的
secure [si'kju4] vt.使安全，保卫vt.获得adj.安全的；确定无疑的
securely [si'kju4li] adv.安心地, 安全地
security [si'kjuriti] n.安全
sedentary ['sed4nt4ri] adj.（人或动物）土生的，不迁徙的adj.（工作）坐着做的（不需运动）
sediment ['sedim4nt] n.沉积物，沉淀物
sedimentary [sedi'ment4ri] adj.沉积的，沉淀性的
seduce [si'dju:s] vt.勾引，诱惑
seedling ['si:dli6] n.秧苗, 树苗
seemingly ['si:mi6li] adv.表面上，似乎
segment ['segm4nt] n.部分；片断
segregate ['segrigeit] vt.分离，隔离
seismic ['saizmik] adj.地震的；由地震引起的
seismology [saiz'm3l4d9i] n.地震学
seismograph ['saizm4gr2:f] n.地震仪
selection [si'lek54n] n.选择, 挑选；选集, 精选品
self-sufficient ['selfs4'fi54nt] adj.自给自足的
semimolten [] adj.半熔化的
semester [si'mest4] n.学期
senator ['sen4t4] n.参议员
sensational [sen'sei54n4l] adj.极好的，绝妙的；引起轰动的
sensation [sen'sei54n] n.感觉，知觉
sensible ['sens4bl] adj.明智的，合理的adj.可感觉到的，明显的
sensibility [.sensi'biliti] n.敏感性，感性
sensitive ['sensitiv] adj.灵敏的adj.敏感的，易受影响的
sensitivity ['sensi'tiviti] n.敏感
sensory ['sens4ri] adj.感觉的，感官的
sentimental [.senti'mentl] adj.感伤性的, 感情脆弱的
sentimentalize [.senti'ment4laiz] v.伤感
sentimentalism [.senti'ment4liz4m] n.感情主意，感情用事
sequence ['si:kw4ns] n.序列；顺序
serene [s4'ri:n] adj.平静的，安详的
serious ['si4ri4s] adj.严肃的，认真的adj.严重的
seriously ['si4ri4sli] adv.认真地；庄重地
serrated [se'reitid] adj.锯齿状的
setting ['seti6] n.背景，环境；装置
set aside for [] 专门留出时间做…
sewerage ['sju4rid9] n.排水系统
sewer ['sju4] n.下水道；裁缝师
shade [5eid] n.阴，阴凉处；阴影n.遮光物，帘
shaft [52:ft] n.杆状物，轴
shallow ['51l4u] adj.浅的
sharpen ['52:p4n] vt.消尖；使敏锐，使敏捷
sharply ['52:pli] adv.突然地，猛烈地
shatter ['51t4] v.使粉碎，破碎
shear [5i4] v.剪，修剪，剪切n.shears  剪刀
sheath [5i:7] n.鞘，外壳
shed [5ed] vt.脱落，蜕vt.流出；发散n.棚，小屋
sheer [5i4] adj.陡峭的adj.纯粹的，绝对的
shell [5el] n.壳vt.去壳，脱落
shellfish ['5elfi5] n.贝，有壳的水生动物
shelter ['5elt4] n.掩蔽处；庇护所vt.掩蔽
sheltered ['5elt4d] adj.遮蔽的
shepherd ['5ep4d] n.牧羊人；牧羊犬
shield [5i:ld] v.庇护，保护n.盾；保护物
shift [5ift] v.移动，改变位置或方向n.轮班n.转移；改变
shifting ['5ifti6] adj.变动的；运动的
shine [5ain] vi.照耀，发光
shining ['5aini6] adj.发亮的，华丽的
shiny ['5aini] adj.有光泽的，发光的
sunshine ['s8n5ain] n.阳光
shingle ['5i6gl] n. <美口>小招牌(尤指医生或律师挂的营业招牌)
shipment ['5ipm4nt] n.装运；装载的货物
shipwright ['5iprait] n.造船工人
shock [53k] n.震动，震惊vt.震惊，激怒
shocking ['53ki6] adj.骇人听闻的
shocked [53kt] adj.震惊的，震撼的
shortcut ['53:tk8t] n.捷径
short-range ['53:t'reind9] adj.近程的
shot [53t] n.照相，照片n.开枪，射击
shrink [5ri6k] vi.收缩，缩小
shrinkage ['5rinkid9] n.收缩
shrivel ['5rivl] v.（使）枯萎
shrub [5r8b] n.灌木；灌木丛
shuffle ['58fl] vt.洗牌
shuffle the deck [] 洗牌
shutter ['58t4] n.(pl)百叶窗
shuttle ['58tl] n.梭子；往返汽车v.穿梭往返
shy [5ai] adj.害羞的；胆小的
shyness ['5ainis] n.羞怯，胆怯
sick [sik] adj.不舒服的，有病的；恶心的
sickness ['siknis] n.疾病；呕吐
sidestep ['saidstep] v.横跨一步躲闪；回避(困难)
sideways ['saidweiz] adv.向一旁，向侧面地
significant [sig'nifik4nt] adj.有意义的；重要的，重大的
significance [sig'nifik4ns] n.意义，含义；重要性
signify ['signifai] vt.表示，意味
silica ['silik4] n.硅石，硅土
silicate ['silikit] n.[化]硅酸盐
silly ['sili] adj.愚蠢的；糊涂的；傻的
silt [silt] n.淤泥
silversmith ['silv4smi7] n.银器匠
simplicity [sim'plisiti] n.简单；朴素
simulate ['simjuleit] vt.模拟，模仿
simultaneous [.sim4l'teinj4s] adj.同时的, 同时发生的
sinuous ['sinju4s] adj.蜿蜒的，迂回的
skeleton ['skelit4n] n.骨架；纲要
skeptical ['skeptik4l] adj.怀疑的；多疑的
skepticism ['skeptisiz4m] n.怀疑
sketch [sket5] n.草图；素描vt.打草稿；素描
skimp [skimp] v.节省，节俭；吝啬
skip [skip] v.跳v.逃过；遗漏
skip class [] 旷课
skull [sk8l] n.头骨
skyrocket [] vi.猛涨，突增
skyscraper ['skaiskreip4(r)] n.摩天大楼
slab [sl1b] n.（四边形的厚物质）板，片
slander ['sl2:nd4] n./v.诽谤
slash [sl15] vt.大量消减
slender ['slend4] adj.苗条的；纤细的
slice [slais] n.薄片；部分，份vt.切成薄片，切下
slide [slaid] v.（使）滑动，（使）滑行n.幻灯片；滑，滑动
slight [slait] adj.轻微的；微小的，微不足道的
slightly ['slaitli] adv.些微地
slime [slaim] n.黏土；黏液
slimy ['slaimi] adj.黏糊糊的；（分泌）黏液的
slip [slip] n.片，纸片n.滑倒；事故v.滑动；滑倒
slip one's mind [] 忘记
slipper ['slip4] n.拖鞋
slippery ['slip4ri] adj.（物体表面）滑的，光滑的
slope [sl4up] n.斜坡，斜面
sloping ['sl4upi6] adj.倾斜的，有坡度的
sloth [sl4u7] n.树懒；怠惰，懒惰
slothful ['sl4u7ful] adj.迟钝的，懒惰的
slow breeding [] 养育起来很慢的
sluggish ['sl8gi5] adj.行动迟缓的；不活泼的
slum [sl8m] n.贫民窟
slumber ['sl8mb4] n.睡眠
smart [sm2:t] adj.巧妙的，聪明的
smelting ['smelti6] n.冶炼
smog [sm3g] n.烟雾
smoothly ['smu:0li] adv.平稳地；顺利地
smother ['sm804] vt.使窒息vt.熄灭；覆盖
smuggle ['sm8gl] vt.走私
snap [sn1p] v.突然折断v.突然抓住或握住
snippet ['snipit] adj.小片，片段；摘录
snowflake ['sn4ufleik] n.雪花
snug [sn8g] adj.温暖舒适的
sociable ['s4u54bl] adj.好交际的，友善的
social distinction [] 具有明显的社会身分或地位
solar ['s4ul4] adj.太阳的
solar cell [] 太阳能电池
solder ['s3ld4, 's3(:)ld4] vt.焊接，焊在一起
soldier ['s4uld94] n.军人，士兵
sole [s4ul] adj.单独的，惟一的n.鞋底
solely ['s4u(l)li] adv.独自地，单独地
solemn ['s3l4m] adj.严肃的；庄严的，隆重的
solicit [s4'lisit] vt.恳求，乞求
solicitor [s4'lisit4] n.律师，法律顾问
solidarity [.s3li'd1riti] n.团结，团结一致
solidify [s4'lidifai] vt.使凝结，使团结，使巩固
solitary ['s3lit4ri] adj.孤独的；独居的
solitude ['s3litju:d] n.孤独；独处
solo ['s4ul4u] n.独奏曲adj.单独的
soloist ['s4ul4uist] n.独奏者，独唱者
soluble ['s3ljubl] adj.可溶的，可溶解的
solution [s4'lju:54n] n.解答，解决n.溶液
somewhat ['s8m(h)w3t] adv.稍微，有点
soothe [su:0] vt.使（某人情绪）平静，安慰；使（痛苦，疼痛）缓和或减轻
sophisticated [s4'fistikeitid] adj.(事物)复杂的；(人)久经事故的
sophistication [s4.fisti'kei54n] n.老练；精致复杂
sort [s3:t] n./v.种类，分类
soundproof ['saundpru:f] vt.使隔音adj.隔音的
sour ['sau4] adj.酸的
souvenir ['su:v4ni4] n.纪念品
sovereignty ['s3vrinti] n.主权，统治权
sovereign ['s3vrin] n.君主；统治adj.独立自主的
sow [sau] vt.播种
soybean ['s3ibi:n] n.大豆
soy [s3i] n.大豆
spaceship ['speis5ip] n.宇宙飞船
spacecraft ['speiskr2:ft] n.宇宙飞船
space shuttle [] n.航天飞机
spacious ['spei54s] adj.广大的，宽敞的
span [sp1n] n.跨度；一段时间vt.跨越
spangle ['sp16gl] v.（使）闪烁
spanking ['sp16ki6] adj.强烈的，疾行的
spare [spA4] adj.多余的，备用的vt.节约，节省n.剩余，备用品
sparingly ['spA4ri6li] adv.节俭地，保守地
sparrow ['sp1r4u] n.麻雀
spark [sp2:k] n.火花，火星vt.发动，激起
sparse [sp2:s] adj.稀少的；稀疏的
sparsely ['spa:sli] adv.稀疏地，稀少地
spawn [sp3:n] v.产卵，大量生育v.造成，酿成
specialized ['spe54laizd] adj.专业的，专门的
species ['spi:5iz] n.类群，种类
subspecies ['s8bspi:5i:z] n.[生]亚种
specify ['spesifai] vt.明确说明；具体指定
specified ['spesifaid] adj.特定的
specific [spi'sifik] adj.具体的，特指的
specification [.spesifi'kei54n] n.规格，详细说明书
specimen ['spesimin, -m4n] n.标本，样品
speck [spek] n.斑点
spectacle ['spekt4kl] n.奇观；展示，景象
spectacular [spek't1kjul4] adj.引人入胜的，壮观的
spectacularly [spek't1kjul4li] adv.引人入胜地
spectator [spek'teit4;'spekteit4] n.参观者，观众
spectrum ['spektr4m] n.谱，光谱
spectra ['spektr4] n.光谱
speculate ['spekju.leit] v.推测；沉思
speedy ['spi:di] adj.快的，迅速的
sphere [sfi4] n.球体
spherical ['sferik4l] adj.球的，球状的
spill [spil] vi.溢出n.溢出，溅出
spine [spain] n.脊骨；书脊；刺
spinal ['spainl] adj.脊骨的，脊髓的
spinal cord [] 脊髓
spined [] adj.有脊骨的，有脊柱的
spiny ['spaini] adj.多刺的，刺状的
spinet [spi'net] n.小型立式钢琴
spinach ['spinid9; (US) 'spinit5] n.菠菜
spinning ['spini6] adj.旋转的
spiral ['spai4r4l] adj.螺旋形的，盘旋的v.盘旋
spiritual ['spiritju4l] adj.精神上的
splash [spl15] v.溅，泼
splendor ['splend4] n.壮丽，辉煌
split [split] v.劈开，（使）裂开；分开
spoil [sp3il] v.损坏；腐烂v.宠爱，溺爱
spoilage ['sp3ilid9] n.（食物等）变质，损坏
sponge [sp8nd9] n.海绵
spontaneous [sp3n'teinj4s, -ni4s] adj.自发的，自然产生的
spontaneously [sp3n'teini4sli] adv.自然地, 本能地
spontaneity [.sp3nt4'ni:iti] n.自然，自发
spoon [spu:n] n.匙，勺子
spot [sp3t] n.地点，场所v.发觉，发现
spotless ['sp3tlis] adj.没有污点的
spotlight ['sp3tlait] v.强调，突出     n. 重点
sprawl [spr3:l] vi.散乱地延伸vi.四肢摊开着坐、卧或倒下n.扩展，蔓延
spray [sprei] n.喷雾，飞沫vt.向…喷射，喷
spring [spri6] n.泉；弹簧v.跳跃
spring up [] 出现，产生
springtime ['spri6taim] n.春天，春季
springwater [] n.天然泉水
sprout [spraut] vi.长出，萌芽
spur [sp4:] n.踢马刺vt.刺激，鞭策
squarely ['skwe4li] adv.坚实的，坚固地
squash [skw35] n.南瓜v.压碎，挤压；镇压
squeeze [skwi:z] vt.榨；挤进，塞进
squirrel ['skwir4l] n.松鼠
squirt [skw4:t] vi.喷出，溅进
stable ['steibl] adj.稳定的，相对固定的
stability [st4'biliti] n.稳定性
stabilize ['steibilaiz] vt.使稳定，使坚固
stack [st1k] vt.堆积n.堆
staff [st2:f] n.全体人员或职员
stagecoach ['steid9k4ut5] n.公共马车
stagger ['st1g4] vi.蹒跚，摇晃
staggering ['st1g4ri6] adj.巨大的，惊人的
stagnant ['st1gn4nt] adj.停滞的, 迟钝的
stain [stein] n.污点，瑕疵
stained [steind] adj.污染的，玷污的
sustain [s4s'tein] vt.支撑；维持，持续
staircase ['ste4keis] n.楼梯
stalk [st3:k] vt.隐伏跟踪（猎物）n.茎，柄，梗
stamina ['st1min4] n.体力，耐力
stand [st1nd] vt.站立；忍受，容忍
stand in the way of [] 挡住…的道路
standpoint ['st1ndp3int] n.立场，观点
standard ['st1nd4d] n./adj.标准（的）
standardize ['st1nd4daiz] vt.使符合标准，使标准化
standardized ['st1nd4.daizd] adj.标准化的
standing ['st1ndi6] adj.固定的，常设的n.身分，名望
stanza ['st1nz4] n.（诗）节，段
staple ['steipl] n.主要产品，日常必需品adj.主要的，常用的vt.把…订起来
starch [st2:t5] n.淀粉；淀粉食物
stardom ['st2:d4m] n.明星的身份或地位
starfish ['st2:fi5] n.海星
stark [st2:k] adj.光秃秃的；荒凉的
starve [st2:v] v.挨饿
starvation [st2:'vei54n] n.饥饿，饿死
stash [st15] vt.藏或贮存于一秘密处所n.隐藏处
stately ['steitli] adj.庄严的，堂皇的
stationary ['stei5(4)n4ri] adj.固定的；静止的
stationery ['stei5(4)n4ri] n.文具
statistics [st4'tistiks] n.统计学
statue ['st1tju:] n.雕像
stature ['st1t54] n.身高，身材；声望，地位
status ['steit4s] n.状况；身份，地位
steadfast ['stedf4st] adj.坚定的，坚信的
steady ['stedi] adj.稳的，牢固的adj.持续的
steak [steik] n.(供煎, 烤等的)肉, 牛排
steep [sti:p] adj.险峻的，陡峭的v.浸，泡；沉浸
steer [sti4] v.驾驶，掌舵
stellar ['stel4] adj.星的，星球的
stem [stem] n.（植物的）茎v.来源于，基于 stem from
sterile ['sterail] adj.贫瘠的；不育的adj.消过毒的
stern [st4:n] adj.苛刻的，严格的；严厉的
stick [stik] n.棍，棒；手杖v.粘住，粘贴v.stick to 坚持
sticky ['stiki] adj.粘的，粘性的
stickpin [] n.领带夹
stiff [stif] adj.硬的，僵直的adj.（态度、举止）拘谨的
stiffen ['stifn] vt.使硬，使僵硬
stifle ['staifl] vt.使窒息；扼杀，抑制
stimulate ['stimjuleit] vt.刺激，激励，激发
stimulation [.stimju'lei54n] n.激励，鼓舞，刺激
stimulus ['stimjul4s] n.刺激；刺激物
stimuli [] n.stimulus复数
stimulant ['stimjul4nt] n.刺激物，兴奋剂
sting [sti6] v.刺；刺痛
stipend ['staipend] n.薪贴；奖学金；养老金
stipulate ['stipjuleit] vt.约定，规定
stipulation [.stipju'lei54n] n.规定，条款
stitch [stit5] v.缝
stock car racing [] 专业汽车比赛
stocky ['st3ki] adj.(人或动物)矮而结实的，粗壮的
stonemason ['st4unmeis(4)n] n.石工，石匠
stout [staut] adj.结实的，勇敢坚定的
strain [strein] n.过度的疲劳，紧张n.血统；物种vt.过滤
strand [str1nd] n.绳、线之一股
strap [str1p] n.带，皮带
strata ['streit4] n.地层（复数）
stratum ['streit4m] n.地层（单数）；阶层
strengthen ['stre674n] vt.加强，巩固
strenuous ['strenju4s] adj.费力的；艰辛的
strenuously ['strenju4sli] adv.奋发地，费力地
stretch [stret5] v.伸展，伸长
stride [straid] n.大步，一跨步
strike [straik] n./v.罢工，打击
striking ['straiki6] adj.醒目的，惊人的
strikingly ['straiki6li] adv.醒目地, 引人侧目地
string [stri6] n.（乐器的）弦；细绳，带子
strings [stri6z] n.弦乐器
stringent ['strind94nt] adj.严厉的adj.缺钱的，银根紧的，周转困难的
strip [strip] vt.剥夺；剥掉n.条，带
stripe [straip] n.斑纹，条纹
strive [straiv] vi.努力，奋斗；力求
stroke [str4uk] n.（绘画等）一笔；一击
stubborn ['st8b4n] adj.顽固的，固执的
stubbornness ['st8b4nnis] n.倔强，顽强
studio ['stju:di4u] n.录音室；艺术家工作室
stumble ['st8mbl] vi.绊倒
stunning ['st8ni6] adj.令人惊叹的，极好的
stun [st8n] vt.使晕倒，打晕；使震惊
stunt [st8nt] n.惊人表演，绝技；特技vt.阻碍…发育，妨碍…生长
sturdy ['st4:di] adj.(人)强健的，结实的；(物)稳固的
stylized ['stailaizd] adj.风格化的，程式化的
subduct [] v.减去，除去
subject to [] 服从
subjected [] adj.服从的，隶属的
submarine ['s8bm4ri:n, s8bm4'ri:n] n.潜水艇，潜艇adj.水下的，海底的
submerge [s4b'm4:d9] v.（使）沉没，淹没
submerged [s4b'm4:d9d] adj.在水中的，淹没的
submit [s4b'mit] v.服从v.提交，递交
subsequent ['s8bsikw4nt] adj.随后的，后来的
subsequently ['s8bsikw4ntli] adv.随后
subside [s4b'said] v.平息，减退
subsidiary [s4b'sidj4ri] n.支流；子公司
subsidize ['s8bsidaiz] v.补助，资助
subsidy ['s8bsidi] n.补助金，津贴
subsist [s4b'sist] vi.生存，存在，供养
subsistence [s8b'sist4ns] n.生存；生计；存活
substantial [s4b'st1n54l] adj.相当的，可观的adj.坚固的
substantially [s4b'st1n5(4)li] adv.相当多地，大大地
substantiate [s8bs't1n5ieit] vt.证实，加强
substantive ['s8bst4ntiv] adj.真实的，有实质的
substitute ['s8bstitju:t] vt.代替n.代替者，代替品
subterranean [s8bt4'reini4n] adj.地下的，地表下的
subtle ['s8tl] adj.微妙的，细微的
subtract [s4b'tr1kt] v.减去   ~ from
subtraction [s4b'tr1k54n] n.减少n.减法
subtractive [s4b'tr1ktiv] adj.减法的；负的
suburb ['s8b4:b] n.郊区
suburbanization [] n.近郊化，郊区建造
suburbanite [s4'b4:b4nait] n.郊区居民
subversive [s8b'v4:siv] adj.颠覆性的，破坏性的
successive [s4k'sesiv] adj.连续的，相继的
succinct [s4k'si6kt] adj.简明的，简洁的
succumb [s4'k8m] vi.屈服，屈从
sue [sju:, su:] v.向…请求，请愿v.提出诉讼，控告
sufficient [s4'fi54nt] adj.足够的，充足的
suit [su:t] vt.适合，适应
suited ['sju:tid] adj.适合的，匹配的
suitable ['sju:t4bl] adj.适当的，相配的
suite [swi:t] n.一批，一套，组
suitcase ['sju:tkeis] n.手提箱, 衣箱
summit ['s8mit] n.山顶，顶点
sumptuous ['s8mptju4s] adj.奢侈的，华丽的
sunlight ['s8nlait] n.日光，阳光
sunlit ['s8nlit] adj.被日光照射了的, 阳光照射的
sunshine ['s8n5ain] n.阳光
sunflower ['s8nflau4] n.向日葵
sunrise ['s8nraiz] n.日出
sunset ['s8nset] n.日落
sunburn ['s8nb4:n] n.晒斑, 晒黑
sundial ['s8ndai4l] n.(通过太阳知道时间的) 日规, 日晷
sunglasses ['s8ngl2:siz] n.太阳镜；墨镜
superb [sju:'p4:b] adj.极好的，超级的
superficial [sju:p4'fi54l] adj.肤浅的，表面（上）的
superficially ['su:p4'fi54li] adv.浅薄地
superintendent [.sju:p4rin'tend4nt] n.主管，负责人
superior [sju:'pi4ri4] adj.级别或地位更高的；质量或价值更好的
superior to [] 高于，优于
supernatural [.sju:p4'n1t54r4l] adj.超自然的，神奇的
supervise ['sju:p4vaiz] vt.监督，指导
supervision [.sju:p4'vi94n] n.监督，管理
supervisor ['sju:p4vaiz4] n.主管，管理人
supplant [s4'pl2:nt] vt.排挤；取代
supple ['s8pl] adj.柔软的，灵活的；柔顺的
supplement ['s8plim4nt] vt.增补，补充n.增补，补充
supplementary [.s8pli'ment4ri] adj.补充的
supplementation [.s8plimen'tei54n] n.增补，补充
suppose [s4'p4uz] vt.推想，假设
supposedly [s4'p4uzidli] adv.按说，应该i
supposition [.s8p4'zi54n] n.假定
suppress [s4'pres] vt.镇压，抑制
supreme [sju:'pri:m] adj.(权力、级别或地位)至高的；最重要的
supremely [su'pri:mli] adv.无上地，崇高地
supremacy [sju'prem4si] n.至高无上的权力
surcharge [s4:'t52:d9] n.增付的费用，附加费
surface ['s4:fis] n./adj.表面（的）vi.浮现出来，暴露
surge [s4:d9] n.汹涌，澎湃，喷发
surging ['s4:d9i6] n.汹涌
surgeon ['s4:d94n] n.外科医生
surgery ['s4:d94ri] n.外科；手术室
surmount [s4:'maunt] vt.克服；登上；越过
surpass [s4:'p2:s] vt.超越，胜过
surpassingly [] adv.卓越地，超群地
surplus ['s4:pl4s] n.过剩，剩余（物资）adj.过剩的
survey ['s4:vei, s4'vei] n./v.调查
survive [s4'vaiv] vi.(人)幸免于难,活下来；(物)耐久
survival [s4'vaiv4l] n.生存，幸存
survivor [s4'vaiv4] n.生还者，残存物
survivability [] n.存活率，生命力
susceptible [s4'sept4bl] adj.易受影响的；敏感的，过敏的
susceptible to [] 易受…影响
suspect [s4s'pekt] adj.令人怀疑的，不可信的vt.怀疑，猜想
suspend [s4s'pend] vt.吊，悬挂vt.延缓
suspender [s4'spend4(r)] n.吊裤带
suspense [s4s'pens] n.悬念，情节
suspicious [s4s'pi54s] adj.可疑的；好猜疑的
suspicion [s4s'pi54n] n.怀疑
sustain [s4s'tein] vt.维持；支撑
sustained [s4s'teind] adj.持续不变的
sustenance ['s8stin4ns] n.食物，生计
swallow ['sw3l4u] v.吞下，咽下n.燕子
swamp [sw3mp] n.沼泽，湿地
swampy ['sw3mpi] adj.沼泽的，湿地的
swarm [sw3:m] n.蜂群，一大群v.挤满，密集
sway [swei] vi.摇摆，摇动vt.使转变，说服
sweep [swi:p] v.席卷，扫过v.清扫，打扫n.伸展，延伸
sweeping ['swi:pi6] adj.彻底的，广泛的
swell [swel] vi.（使）肿胀、膨胀
swelling ['sweli6] n.肿胀
swift [swift] adj.迅速的，敏捷的
swiftness ['swiftnis] n.迅速，敏捷
syllable ['sil4bl] n.（语音）音节
symbiosis [simbai'4usis] n.共生（关系），共栖
symbiotic [.simbai'3tik] adj.共栖的，共生的
symbol ['simb4l] n.符号，记号；象征
symbolism ['simb4liz4m] n.象征主义；符号论
symbology [sim'b3l4d9i] n.象征学
symbolize ['simb4laiz] v.象征
symmetrical [si'metrik4l] adj.对称的
symmetry ['simitri] n.对称（性），匀称
sympathy ['simp47i] n.同情，同情心
sympathize ['simp47aiz] v.同情，体谅
sympathetic [.simp4'7etik] adj.有同情心的adj.赞成的，合意的
symphony ['simf4ni] n.交响乐，交响曲
symptom ['simpt4m] n.症状；征兆
synchronize ['si6kr4naiz] vt.同步，同时发生
synonym ['sin4nim] n.同义字
synonymous [si'n3nim4s] adj.同义的
synthesize ['sin7isaiz] vt.综合；合成
synthesizer ['sin7isaiz4] n.[电子]合成器
synthesis ['sin7isis] n.综合, 合成
synthetic [sin'7etik] adj.合成的，人造的n.合成物质
syrup ['sir4p] n.糖浆，果汁
system ['sist4m] n.系统，体系
systematic [.sisti'm1tik] adj.系统的，体系的
systematize ['sistim4taiz] v.使系统化；将…分类
synthesis ['sin7isis] n.综合, 合成
stilt [stilt] n.高跷，支柱
strap [str1p] v.用带缚住, 用带捆扎
suburbanite [s4'b4:b4nait] n.郊区居民
shutter ['58t4] n.百叶窗；快门
supervision [.sju:p4'vi94n] n.监督，管理
subdivision ['s8bdi.vi94n] n.细分，一部
seaweed ['si:wi:d] n.海草，海藻
softwood ['s3ftwud] n.软木材
shipwreck ['5iprek] n.船只失事, 海难
take account of [] 考虑到；体谅
take into account [] 重视，考虑
trample ['tr1mpl] vt.践踏，踩坏
theist ['7i:ist] n.有神论者
taxicab ['t1ksik1b] n.出租车
the Cabinet [] n.内阁    cabinet  n. 橱柜
telecommuter [telik4'mju：t4] n.（通过在线方式）远距离工作者
transcontinental ['tr1nzk3nti'nent4l] adj.横贯大陆的，大陆那边的
the Red Cross [] 红十字会
two/three dimensional [] 两/三维的
thermodynamics ['74:m4udai'n1miks] n.热力学
thousandfold [] adj.千倍的
transformation [.tr1nsf4'mei54n] n.变化，转化；改革
tableware ['teib(4)lwe4(r)] n.餐具
telegraph ['teligr2:f] n.电报机，电报
thatch [71t5] vt.用茅草覆盖屋顶
thorn [73:n] n.（植物的）刺，棘
thorny ['73:ni] adj.多刺的
trainload ['treinl4ud] n.列车载重
timber ['timb4] n.木材，木料
telescope ['telisk4up] n.望远镜
